Algorithm,Start Station,End Station,Time,Expanded Notes,Path,Distance
astar,Bond Street,Canada Water,0.0003421306610107422,20,Bond Street -> Oxford Circus -> Piccadilly Circus -> Charing Cross -> Embankment -> Waterloo -> Southwark -> London Bridge -> Bermondsey -> Canada Water,7.527535747628683 km
dijkstra,Bond Street,Canada Water,0.0011224746704101562,120,Bond Street -> Oxford Circus -> Piccadilly Circus -> Charing Cross -> Embankment -> Waterloo -> Southwark -> London Bridge -> Bermondsey -> Canada Water,7.527535747628683 km
bellman_ford,Bond Street,Canada Water,0.35025572776794434,535,Bond Street -> Oxford Circus -> Piccadilly Circus -> Charing Cross -> Embankment -> Waterloo -> Southwark -> London Bridge -> Bermondsey -> Canada Water,7.527535747628683 km
spfa,Bond Street,Canada Water,0.002054929733276367,482,Bond Street -> Oxford Circus -> Piccadilly Circus -> Charing Cross -> Embankment -> Waterloo -> Southwark -> London Bridge -> Bermondsey -> Canada Water,7.527535747628683 km
ucs,Bond Street,Canada Water,0.0011479854583740234,136,Bond Street -> Oxford Circus -> Piccadilly Circus -> Charing Cross -> Embankment -> Waterloo -> Southwark -> London Bridge -> Bermondsey -> Canada Water,7.527535747628683 km
astar,Ealing Broadway,Ealing Common,7.390975952148438e-05,2,Ealing Broadway -> Ealing Common,1.0928664268099313 km
dijkstra,Ealing Broadway,Ealing Common,6.246566772460938e-05,2,Ealing Broadway -> Ealing Common,1.0928664268099313 km
bellman_ford,Ealing Broadway,Ealing Common,0.33268046379089355,620,Ealing Broadway -> Ealing Common,1.0928664268099313 km
spfa,Ealing Broadway,Ealing Common,0.0020904541015625,491,Ealing Broadway -> Ealing Common,1.0928664268099313 km
ucs,Ealing Broadway,Ealing Common,6.389617919921875e-05,2,Ealing Broadway -> Ealing Common,1.0928664268099313 km
astar,Brent Cross,St. John's Wood,0.00032901763916015625,22,Brent Cross -> Golders Green -> Hampstead -> Belsize Park -> Chalk Farm -> Camden Town -> Euston -> Warren Street -> Oxford Circus -> Bond Street -> Baker Street -> St. John's Wood,13.016149444600465 km
dijkstra,Brent Cross,St. John's Wood,0.0007774829864501953,76,Brent Cross -> Golders Green -> Hampstead -> Belsize Park -> Chalk Farm -> Camden Town -> Euston -> Warren Street -> Oxford Circus -> Bond Street -> Baker Street -> St. John's Wood,13.016149444600465 km
bellman_ford,Brent Cross,St. John's Wood,0.34178686141967773,576,Brent Cross -> Golders Green -> Hampstead -> Belsize Park -> Chalk Farm -> Camden Town -> Euston -> Warren Street -> Oxford Circus -> Bond Street -> Baker Street -> St. John's Wood,13.016149444600465 km
spfa,Brent Cross,St. John's Wood,0.0018265247344970703,399,Brent Cross -> Golders Green -> Hampstead -> Belsize Park -> Chalk Farm -> Camden Town -> Euston -> Warren Street -> Oxford Circus -> Bond Street -> Baker Street -> St. John's Wood,13.016149444600465 km
ucs,Brent Cross,St. John's Wood,0.0007762908935546875,95,Brent Cross -> Golders Green -> Hampstead -> Belsize Park -> Chalk Farm -> Camden Town -> Euston -> Warren Street -> Oxford Circus -> Bond Street -> Baker Street -> St. John's Wood,13.016149444600465 km
astar,Bayswater,Parsons Green,0.00015091896057128906,7,Bayswater -> Notting Hill Gate -> High Street Kensington -> Earl's Court -> West Brompton -> Fulham Broadway -> Parsons Green,4.726724555169225 km
dijkstra,Bayswater,Parsons Green,0.0004603862762451172,43,Bayswater -> Notting Hill Gate -> High Street Kensington -> Earl's Court -> West Brompton -> Fulham Broadway -> Parsons Green,4.726724555169225 km
bellman_ford,Bayswater,Parsons Green,0.3383359909057617,590,Bayswater -> Notting Hill Gate -> High Street Kensington -> Earl's Court -> West Brompton -> Fulham Broadway -> Parsons Green,4.726724555169225 km
