,BFS,Dijkstra(1),Dijkstra(Haversine),Dijkstra(Euclidean),BellmanFord(Euclidean),G_BFS(Euclidean),"A_star(1, Euclidean)","A_star(1, Haversine)","A_star(Euclidean, Euclidean)","A_star(Euclidean, Haversine)","A_star(Haversine, Euclidean)","A_star(Haversine, Haversine)","bi_A_star(1, Euclidean)","bi_A_star(1, Haversine)","bi_A_star(Euclidean, Euclidean)","bi_A_star(Euclidean, Haversine)","bi_A_star(Haversine, Euclidean)","bi_A_star(Haversine, Haversine)"
0,45,38,62,62,93330,19,38,38,19,19,19,19,13,13,12,12,12,12
1,124,132,127,127,93330,18,119,119,35,35,35,35,40,40,25,25,25,25
2,96,96,126,126,93330,11,96,96,21,21,21,21,15,15,16,16,16,16
3,260,260,301,301,93330,20,253,253,61,61,61,61,42,42,16,16,16,16
4,130,136,138,138,93330,10,116,116,10,10,10,10,29,29,6,6,6,6
5,267,268,238,238,93330,24,256,256,105,105,105,105,77,77,15,15,15,15
6,267,268,239,239,93330,45,256,256,105,105,105,105,86,86,23,23,23,23
7,166,165,148,148,93330,34,153,153,40,40,40,40,26,26,16,16,16,16
8,50,49,50,50,93330,6,39,39,6,6,6,6,6,6,4,4,4,4
9,298,297,272,272,93330,96,294,294,84,84,84,84,24,24,30,30,30,30
10,286,284,275,275,93330,20,277,277,33,33,33,33,23,23,11,11,11,11
11,160,155,156,156,93330,12,141,141,24,24,24,24,23,23,8,8,8,8
12,284,289,309,309,93330,24,282,282,168,168,168,168,39,39,21,21,21,21
13,267,273,243,243,93330,108,264,264,82,82,82,82,27,27,22,22,22,22
14,84,90,142,142,93330,27,71,71,27,27,27,27,15,15,16,16,16,16
15,174,162,154,154,93330,11,161,161,15,15,15,15,34,34,9,9,9,9
16,138,139,119,119,93330,18,124,124,33,33,33,33,51,51,10,10,10,10
17,34,41,62,62,93330,9,32,32,11,11,11,11,10,10,8,8,8,8
18,96,99,87,87,93330,8,92,92,11,11,11,11,15,15,5,5,5,5
19,253,242,183,183,93330,28,236,236,58,58,58,58,40,40,21,21,21,21
20,220,215,291,291,93330,20,207,207,72,71,72,71,38,38,22,22,22,22
21,204,198,191,191,93330,57,197,197,36,36,36,36,28,28,9,9,9,9
22,180,168,157,157,93330,19,164,164,32,32,32,32,40,40,21,21,21,21
23,281,285,277,277,93330,75,278,278,51,51,51,51,40,40,21,21,21,21
24,224,232,271,271,93330,22,217,217,145,145,145,145,37,37,28,27,28,27
25,96,90,88,88,93330,16,90,90,31,31,31,31,26,26,16,16,16,16
26,160,155,158,158,93330,14,141,141,34,34,34,34,27,27,17,17,17,17
27,198,204,291,291,93330,35,196,196,59,56,58,56,31,31,33,33,33,33
28,206,207,186,186,93330,21,203,203,74,74,74,74,64,64,18,18,18,18
29,68,56,71,71,93330,7,52,52,7,7,7,7,6,6,4,4,4,4
30,44,51,78,78,93330,6,41,41,7,7,7,7,14,14,5,5,5,5
31,11,8,10,10,93330,5,8,8,5,5,5,5,5,5,4,4,4,4
32,79,69,51,51,93330,8,62,62,12,12,12,12,16,16,6,6,6,6
33,127,106,144,144,93330,22,106,106,38,38,38,38,24,24,17,17,17,17
34,75,67,172,172,93330,9,56,56,9,9,9,9,10,10,5,5,5,5
35,198,195,221,221,93330,29,194,194,48,48,48,48,17,17,17,17,17,17
36,20,19,49,49,93330,4,9,9,6,6,6,6,4,4,5,5,5,5
37,11,11,11,11,93330,7,11,11,7,7,7,7,7,7,4,4,4,4
38,256,257,263,263,93330,39,256,256,60,60,60,60,40,40,34,34,34,34
39,194,187,191,191,93330,22,187,187,38,38,38,38,60,60,18,18,18,18
40,166,168,119,119,93330,19,160,160,37,37,37,37,31,31,15,15,15,15
41,146,156,219,219,93330,14,139,139,20,20,20,20,9,9,7,7,7,7
42,121,106,127,127,93330,15,105,105,27,27,27,27,30,30,11,11,11,11
43,73,73,60,60,93330,9,60,60,9,9,9,9,12,12,5,5,5,5
44,106,124,143,143,93330,16,96,96,59,59,59,59,17,17,5,5,5,5
45,177,187,271,271,93330,35,177,177,65,65,65,65,39,39,31,31,31,31
46,88,79,50,50,93330,19,75,75,17,17,17,17,12,12,10,10,10,10
47,302,302,287,287,93330,28,302,302,107,107,107,107,55,55,25,25,25,25
48,235,228,239,239,93330,30,228,228,84,84,84,84,75,75,26,26,26,26
49,75,70,61,61,93330,18,65,65,20,20,20,20,18,18,15,15,15,15
50,233,226,215,215,93330,37,221,221,70,70,70,70,33,33,21,21,21,21
51,132,128,139,139,93330,10,116,116,32,32,32,32,24,24,15,15,15,15
52,49,49,46,46,93330,10,46,46,19,19,19,19,20,20,11,11,11,11
53,154,145,123,123,93330,14,138,138,21,21,21,21,22,22,13,13,13,13
54,106,93,104,104,93330,8,79,79,14,14,14,14,17,17,8,8,8,8
55,175,174,183,183,93330,19,159,159,72,72,72,72,45,45,18,18,18,18
56,157,159,133,133,93330,15,139,139,48,48,48,48,40,40,11,11,11,11
57,264,265,254,254,93330,67,253,253,89,89,89,89,30,30,21,21,21,21
58,177,183,214,214,93330,26,176,176,27,27,27,27,22,22,13,13,13,13
59,269,270,275,275,93330,49,269,269,114,114,114,114,42,42,23,23,23,23
60,115,119,112,112,93330,12,103,103,32,32,32,32,38,38,7,7,7,7
61,214,211,180,180,93330,22,197,197,84,85,84,85,40,40,15,15,15,15
62,301,301,293,293,93330,69,297,297,111,110,111,110,78,78,19,19,19,19
63,181,177,190,190,93330,21,164,164,28,28,28,28,35,35,14,14,14,14
64,43,40,38,38,93330,9,40,40,13,13,13,13,10,10,8,8,8,8
65,293,293,299,299,93330,39,289,289,145,144,145,144,63,63,29,29,29,29
66,303,302,290,290,93330,107,302,302,164,164,164,164,57,57,28,28,28,28
67,103,104,126,126,93330,18,83,83,21,21,21,21,14,14,9,9,9,9
68,159,171,225,225,93330,22,152,152,35,35,35,35,28,28,11,11,11,11
69,292,288,233,233,93330,24,287,287,80,80,80,80,39,39,11,11,11,11
70,279,282,274,274,93330,27,277,277,84,84,84,84,73,73,16,16,16,16
71,128,122,130,130,93330,14,112,112,39,39,39,39,34,34,8,8,8,8
72,3,5,2,2,93330,2,2,2,2,2,2,2,2,2,2,2,2,2
73,268,274,261,261,93330,64,264,264,54,54,54,54,42,42,26,26,26,26
74,186,181,188,188,93330,22,174,174,31,31,31,31,28,28,18,18,18,18
75,230,227,226,226,93330,33,226,226,118,118,118,118,68,68,17,17,17,17
76,121,121,118,118,93330,20,103,103,34,34,34,34,30,30,13,13,13,13
77,191,183,192,192,93330,13,181,181,81,81,81,81,30,30,17,17,17,17
78,3,2,3,3,93330,2,2,2,2,2,2,2,2,2,2,2,2,2
79,67,67,116,116,93330,20,66,66,32,32,32,32,27,27,26,26,26,26
