start_station,end_station,greedyBFS,BellmanFord,Dijkstra,Astar_Great_Circle,Astar_Euclidean,Astar_Manhattan,A_star_Chebyshev,biAstar_Great_Circle,biAstar_Euclidean,biAstar_Manhattan,biAstar_Chebyshev
East Acton,West Silvertown,46,93330,238,80,79,68,90,15,15,15,14
Burnt Oak,Walthamstow Central,6265,93330,188,34,34,23,54,16,16,17,12
West Silvertown,Alperton,74,93330,268,183,183,198,195,35,35,45,29
Gants Hill,North Greenwich,16,93330,36,10,10,9,11,8,8,8,9
Theydon Bois,Blackfriars,51,93330,87,27,27,19,32,13,13,10,20
West Kensington,Colliers Wood,56,93330,190,44,44,50,49,18,18,17,20
Goldhawk Road,Holborn,21,93330,84,27,27,18,32,21,21,15,20
Custom House,Tottenham Court Road,26,93330,99,16,16,14,17,9,9,10,8
Dagenham East,Canning Town,10,93330,14,10,10,10,10,10,10,6,10
Kilburn,Bermondsey,29,93330,130,23,23,12,41,13,13,11,13
Buckhurst Hill,Mile End,9,93330,26,8,8,8,9,5,5,5,5
Canary Wharf,North Wembley,514,93330,267,141,142,108,164,23,23,29,27
Rayners Lane,Harrow & Wealdston,169,93330,287,115,115,101,134,41,41,33,47
Goldhawk Road,Upminster Bridge,92,93330,308,95,95,49,126,35,35,33,48
Kilburn Park,Southgate,38,93330,240,51,51,53,59,22,22,11,18
Amersham,Finsbury Park,31,93330,161,39,39,33,42,29,27,31,30
Eastcote,Cockfosters,56,93330,290,117,116,97,125,41,41,34,48
Warren Street,Archway,8,93330,65,7,7,7,7,4,4,4,4
Becontree,Gloucester Road,31,93330,167,35,35,26,52,29,29,19,33
Cyprus,Ruislip Gardens,90,93330,292,115,114,171,154,20,20,33,20
Willesden Green,Holland Park,12,93330,56,16,16,14,18,15,15,11,13
Marylebone,Chesham,49,93330,315,51,51,17,157,18,18,9,28
Pinner,St. James's Park,16,93330,103,25,25,15,33,14,14,7,19
Holland Park,Victoria,16,93330,44,11,11,7,12,6,6,5,6
Westminster,Royal Albert,28,93330,197,40,40,27,47,10,10,10,12
Monument,Barbican,13,93330,14,9,9,9,9,6,6,6,6
West Kensington,King's Cross St. Pancras,16,93330,89,15,15,14,33,12,12,11,17
Wembley Central,Limehouse,35,93330,151,30,30,29,36,23,23,22,27
Lancaster Gate,Blackhorse Road,164,93330,205,35,35,12,66,8,8,8,14
Hampstead,Knightsbridge,19,93330,51,13,13,11,14,9,9,9,8
Moor Park,Osterley,25,93330,120,33,33,30,37,18,18,18,23
Elm Park,Euston,25,93330,112,25,25,23,34,15,15,18,14
Buckhurst Hill,Gallions Reach,22,93330,81,24,24,19,24,11,11,11,11
Tooting Broadway,London Bridge,13,93330,23,12,12,12,13,7,7,7,8
Newbury Park,Bow Church,18,93330,18,10,10,9,11,6,6,5,9
Farringdon,Piccadilly Circus,15,93330,50,11,11,13,12,11,11,12,12
"Heathrow Terminals 1, 2 & 3",Northolt,49,93330,109,29,29,27,31,12,12,13,12
West Silvertown,Brixton,17,93330,135,41,41,22,54,10,10,9,14
Caledonian Road,Watford,108,93330,309,129,129,53,183,23,23,24,31
Clapham South,Golders Green,30,93330,178,41,41,48,71,10,10,10,15
Shepherd's Bush (H),South Kenton,347,93330,199,53,53,43,63,23,23,23,23
Beckton,Old Street,25,93330,78,33,33,26,39,14,14,14,16
Upney,Upton Park,3,93330,6,4,4,4,4,3,3,3,3
North Greenwich,North Wembley,515,93330,268,149,150,109,173,24,24,26,28
Watford,Lambeth North,24,93330,117,31,31,18,38,20,20,11,22
Russell Square,Queensbury,99,93330,245,68,68,31,91,14,14,12,17
Warwick Avenue,Upton Park,41,93330,231,43,43,28,67,26,26,20,19
Baker Street,Sudbury Town,24,93330,259,101,101,82,110,33,33,24,37
Lancaster Gate,Gloucester Road,7,93330,17,5,5,5,6,5,5,4,6
Clapham Common,Kilburn Park,31,93330,137,36,36,24,50,14,14,9,18
