start_station,end_station,greedyBFS,BellmanFord,Dijkstra,Astar_Great_Circle,Astar_Euclidean,Astar_Manhattan,A_star_Chebyshev,biAstar_Great_Circle,biAstar_Euclidean,biAstar_Manhattan,biAstar_Chebyshev
East Acton,West Silvertown,24.361611013201657,20.674517408364476,20.674517408364476,20.674517408364476,20.674517408364476,20.674517408364476,20.674517408364476,22.07440080947007,22.07440080947007,24.447636088214033,20.674517408364476
Burnt Oak,Walthamstow Central,24.428858907457172,24.428858907457172,24.428858907457172,24.428858907457172,24.428858907457172,24.588241232642606,24.428858907457172,25.174292220280407,25.174292220280407,25.174292220280407,24.428858907457172
West Silvertown,Alperton,32.875608940174864,27.726580762313112,27.726580762313112,27.726580762313112,27.726580762313112,27.726580762313112,27.726580762313112,28.197305665244144,28.197305665244144,39.49114115287673,31.44534940938054
Gants Hill,North Greenwich,16.390590920768382,12.401144286477088,12.401144286477088,12.401144286477088,12.401144286477088,12.401144286477088,12.401144286477088,13.989316107291316,13.989316107291316,13.989848610722632,14.519939418847809
Theydon Bois,Blackfriars,29.40734120168834,25.529937531330027,25.529937531330027,25.529937531330027,25.529937531330027,25.529937531330027,25.529937531330027,29.276019702101834,29.276019702101834,25.529937531330027,26.290717054738977
West Kensington,Colliers Wood,16.099476064931494,15.07521868278328,15.07521868278328,15.07521868278328,15.07521868278328,15.07521868278328,15.07521868278328,18.618253403180876,18.618253403180876,17.963114761466464,18.618253403180876
Goldhawk Road,Holborn,12.154034894587928,9.269517247999815,9.269517247999815,9.269517247999815,9.269517247999815,9.551622566304863,9.269517247999815,10.496471232630313,10.496471232630313,13.560295131349301,10.77793066067123
Custom House,Tottenham Court Road,15.668222768985762,11.728837562748227,11.728837562748227,11.728837562748227,11.728837562748227,11.728837562748227,11.728837562748227,13.359566259783865,13.359566259783865,11.728837562748229,11.728837562748229
Dagenham East,Canning Town,12.933735889092473,12.933735889092473,12.933735889092473,12.933735889092473,12.933735889092473,12.933735889092473,12.933735889092473,15.250869024304265,15.250869024304265,14.959767873389769,15.250869024304265
Kilburn,Bermondsey,16.86648286423705,12.555825776223507,12.555825776223507,12.555825776223507,12.555825776223507,12.803984456731769,12.555825776223507,13.32493886673674,13.32493886673674,17.837580050496975,13.303561532289748
Buckhurst Hill,Mile End,13.087355007558019,13.087355007558019,13.087355007558019,13.087355007558019,13.087355007558019,13.087355007558019,13.087355007558019,13.087355007558019,13.087355007558019,14.838840434856964,13.087355007558019
Canary Wharf,North Wembley,26.565461630450816,23.8105421276909,23.8105421276909,23.8105421276909,23.8105421276909,23.8105421276909,23.8105421276909,24.55827788375715,24.55827788375715,28.654715294992776,24.55827788375715
Rayners Lane,Harrow & Wealdston,36.88656652646183,34.63460665203926,34.63460665203926,34.63460665203926,34.63460665203926,34.63460665203926,34.63460665203926,42.633778523067704,42.633778523067704,37.1130159510657,37.22881244686934
Goldhawk Road,Upminster Bridge,41.961460239498805,34.66582868418294,34.66582868418294,34.66582868418294,34.66582868418294,35.21489091658031,34.66582868418294,36.96825966864053,36.96825966864053,44.36497666757136,42.53566501939338
Kilburn Park,Southgate,19.43133246464882,19.43133246464882,19.43133246464882,19.43133246464882,19.43133246464882,19.43133246464882,19.43133246464882,23.744524266939887,23.744524266939887,19.43133246464882,22.16257494076672
Amersham,Finsbury Park,43.760796873069395,43.760796873069395,43.760796873069395,43.760796873069395,43.760796873069395,43.920179198254836,43.760796873069395,45.61783486145785,45.54623965015402,48.83039854885946,49.53436312195974
Eastcote,Cockfosters,37.31269731879439,37.31269731879439,37.31269731879439,37.31269731879439,37.31269731879439,37.31269731879439,37.31269731879439,44.60322499553364,44.60322499553364,38.238523729773405,44.74829185461021
Warren Street,Archway,4.832134869739164,4.832134869739164,4.832134869739164,4.832134869739164,4.832134869739164,4.832134869739164,4.832134869739164,4.832134869739164,4.832134869739164,4.832134869739164,4.832134869739164
Becontree,Gloucester Road,27.36713540684831,22.955421674436874,22.955421674436874,22.955421674436874,22.955421674436874,23.430455344691897,22.955421674436874,25.511486684344742,25.511486684344742,29.711780846716827,23.275867412753193
Cyprus,Ruislip Gardens,38.60195077036787,35.52160342946829,35.52160342946829,35.52160342946829,35.52160342946829,35.52160342946829,35.52160342946829,36.29170334374295,36.29170334374295,36.56862646055956,35.52160342946829
Willesden Green,Holland Park,9.950258149235658,9.938601052801594,9.938601052801594,9.938601052801594,9.938601052801594,9.950258149235658,9.938601052801594,13.4469918597351,13.4469918597351,11.743892507540842,10.6659008048652
Marylebone,Chesham,49.563832373112305,39.75481427236442,39.75481427236442,39.75481427236442,39.75481427236442,39.75481427236442,39.75481427236442,42.03690247476837,46.26985239902626,39.75481427236441,52.556888055767566
Pinner,St. James's Park,22.19096340140677,22.160905034346467,22.160905034346467,22.160905034346467,22.160905034346467,22.160905034346467,22.160905034346467,23.65409873283954,23.65409873283954,29.306111678863736,22.160905034346467
Holland Park,Victoria,7.052171768690295,5.432205267320611,5.432205267320611,5.432205267320611,5.432205267320611,5.432205267320611,5.432205267320611,6.421838938355693,6.421838938355693,6.065757755367347,7.048829345317154
Westminster,Royal Albert,14.314687606695475,12.883168895630014,12.883168895630014,12.883168895630014,12.883168895630014,12.883168895630014,12.883168895630014,12.883168895630016,12.883168895630016,13.32099673132165,14.977997632052674
Monument,Barbican,3.73123083893203,2.923061892080206,2.923061892080206,2.923061892080206,2.923061892080206,2.923061892080206,2.923061892080206,2.923061892080206,2.923061892080206,2.923061892080206,2.923061892080206
West Kensington,King's Cross St. Pancras,9.500207088503206,8.225575846163418,8.225575846163418,8.225575846163418,8.225575846163418,8.552433927375708,8.225575846163418,9.326021991095285,9.326021991095285,14.18242301796045,10.123487243058285
Wembley Central,Limehouse,23.616794401113324,20.878764395601543,20.878764395601543,20.878764395601543,20.878764395601543,20.878764395601543,20.878764395601543,23.258688542272203,23.258688542272203,22.396600065942444,22.20241923628524
Lancaster Gate,Blackhorse Road,14.964537052086035,14.269607085851991,14.269607085851991,14.269607085851991,14.269607085851991,14.428989411037426,14.269607085851991,14.269607085851993,14.269607085851993,16.448403914316717,15.571317299138366
Hampstead,Knightsbridge,9.221337135991034,8.445310954922142,8.445310954922142,8.445310954922142,8.445310954922142,8.445310954922142,8.445310954922142,11.887062656192235,11.887062656192235,12.259323455796716,10.053723606626345
Moor Park,Osterley,28.645676656647005,28.645676656647005,28.645676656647005,28.645676656647005,28.645676656647005,28.645676656647005,28.645676656647005,33.422877701400225,33.422877701400225,31.823967967513436,38.19798655651729
Elm Park,Euston,25.12369337179411,24.301566359250792,24.301566359250792,24.301566359250792,24.301566359250792,24.315524424942286,24.301566359250792,25.30874118467151,25.30874118467151,26.475226363177427,25.825585629140008
Buckhurst Hill,Gallions Reach,18.16966949463636,18.16966949463636,18.16966949463636,18.16966949463636,18.16966949463636,18.16966949463636,18.16966949463636,19.025048163573622,19.025048163573622,19.025048163573622,19.757841315450587
Tooting Broadway,London Bridge,10.49907836854334,10.49907836854334,10.49907836854334,10.49907836854334,10.49907836854334,10.49907836854334,10.49907836854334,11.451821244821641,11.451821244821641,11.451821244821641,12.725970987287342
Newbury Park,Bow Church,11.245265315482307,11.245265315482307,11.245265315482307,11.245265315482307,11.245265315482307,11.245265315482307,11.245265315482307,12.852729054916956,12.852729054916956,11.245265315482307,14.952232268667256
Farringdon,Piccadilly Circus,5.104033714720636,4.654865614864036,4.654865614864036,4.654865614864036,4.654865614864036,4.654865614864036,4.654865614864036,5.42397870537727,5.42397870537727,6.249874562000867,5.344402498111978
"Heathrow Terminals 1, 2 & 3",Northolt,26.776284623285036,26.776284623285036,26.776284623285036,26.776284623285036,26.776284623285036,26.776284623285036,26.776284623285036,26.776284623285036,26.776284623285036,28.859746069726427,26.776284623285036
West Silvertown,Brixton,14.73170778942418,14.73170778942418,14.73170778942418,14.73170778942418,14.73170778942418,14.73170778942418,14.73170778942418,14.731707789424178,14.731707789424178,14.731707789424178,18.059792525544605
Caledonian Road,Watford,43.21512544427341,32.56127814626477,32.56127814626477,32.56127814626477,32.56127814626477,32.56127814626477,32.56127814626477,32.56127814626477,32.56127814626477,47.303086966116396,39.78135930908358
Clapham South,Golders Green,19.09985600003641,16.441476792035882,16.441476792035882,16.441476792035882,16.441476792035882,16.441476792035882,16.441476792035882,18.470046515825835,18.470046515825835,17.393438867746106,18.101067536372916
Shepherd's Bush (H),South Kenton,30.166579820142836,16.98676635105229,16.98676635105229,16.98676635105229,16.98676635105229,16.98676635105229,16.98676635105229,20.3669214230151,20.3669214230151,30.33824195118551,20.918729237543808
Beckton,Old Street,14.695762193101688,14.103496901692079,14.103496901692079,14.103496901692079,14.103496901692079,14.103496901692079,14.103496901692079,14.103496901692079,14.103496901692079,16.493021356706617,15.243977603532045
Upney,Upton Park,4.747718687781939,4.747718687781939,4.747718687781939,4.747718687781939,4.747718687781939,4.747718687781939,4.747718687781939,6.773750672079234,6.773750672079234,6.773750672079234,6.773750672079234
North Greenwich,North Wembley,28.361923590446178,25.607004087686263,25.607004087686263,25.607004087686263,25.607004087686263,25.607004087686263,25.607004087686263,27.12483975802717,27.12483975802717,39.16912248905864,27.12483975802717
Watford,Lambeth North,32.899782977668224,32.582977851747984,32.582977851747984,32.582977851747984,32.582977851747984,32.831136532256245,32.582977851747984,33.22511549990068,33.22511549990068,34.13683968007676,33.317151487905484
