start_station,end_station,greedyBFS,BellmanFord,Dijkstra,Astar_Great_Circle,Astar_Euclidean,Astar_Manhattan,A_star_Chebyshev,biAstar_Great_Circle,biAstar_Euclidean,biAstar_Manhattan,biAstar_Chebyshev
East Acton,West Silvertown,0.0041324996948242185,35.719807624816895,0.010039758682250977,0.06035172939300537,0.07222421169281006,0.06226189136505127,0.07882421016693116,0.02389342784881592,0.029832935333251952,0.03257169723510742,0.02689383029937744
Burnt Oak,Walthamstow Central,0.37976969957351686,35.78561186790466,0.008247172832489014,0.020293521881103515,0.024576473236083984,0.017681169509887695,0.043135547637939455,0.018059039115905763,0.021931052207946777,0.023151612281799315,0.01635465621948242
West Silvertown,Alperton,0.005546181201934814,35.66108560562134,0.010798981189727783,0.11857516765594482,0.13976199626922609,0.15521023273468018,0.14463765621185304,0.054515647888183597,0.06697168350219726,0.0901958703994751,0.0556065559387207
Gants Hill,North Greenwich,0.0012241005897521973,35.79860782623291,0.0014605045318603516,0.007469081878662109,0.009205889701843262,0.008583688735961914,0.009835934638977051,0.010263633728027344,0.012704992294311523,0.013579654693603515,0.016552948951721193
Theydon Bois,Blackfriars,0.004344346523284912,35.74684739112854,0.0035416698455810547,0.01839890480041504,0.022534894943237304,0.01573340892791748,0.025647735595703124,0.017464709281921387,0.02165212631225586,0.015146446228027344,0.03471837043762207
West Kensington,Colliers Wood,0.003910598754882813,35.72450494766235,0.008266794681549072,0.026520347595214842,0.03205785751342773,0.038321423530578616,0.036560440063476564,0.022373199462890625,0.02730405330657959,0.024675655364990234,0.029019689559936522
Goldhawk Road,Holborn,0.001938173770904541,35.70399785041809,0.0039946985244750976,0.020857524871826173,0.025240325927734376,0.017424559593200682,0.029286766052246095,0.0324854850769043,0.039357686042785646,0.02826991081237793,0.03881425857543945
Custom House,Tottenham Court Road,0.0023388409614562987,35.72777199745178,0.004079577922821045,0.012144327163696289,0.015097975730895996,0.014232754707336426,0.016251587867736818,0.014206790924072265,0.017873668670654298,0.01816415786743164,0.016089630126953126
Dagenham East,Canning Town,0.0005989742279052735,35.54384183883667,0.0005009961128234863,0.005412149429321289,0.006634044647216797,0.006624269485473633,0.006628894805908203,0.011088418960571288,0.013668012619018555,0.008985757827758789,0.013661432266235351
Kilburn,Bermondsey,0.002793450355529785,35.677897691726685,0.0060841250419616695,0.020821332931518555,0.025242209434509277,0.015493130683898926,0.03973863124847412,0.02145237922668457,0.026256394386291505,0.02725975513458252,0.028171944618225097
Buckhurst Hill,Mile End,0.000616767406463623,35.61748433113098,0.0009850764274597168,0.005069303512573242,0.0063256978988647464,0.006333065032958984,0.006947112083435058,0.006155848503112793,0.007732915878295899,0.008171439170837402,0.0077326297760009766
Canary Wharf,North Wembley,0.03111610412597656,36.044429302215576,0.010782337188720703,0.09457387924194335,0.11231622695922852,0.08762085437774658,0.12219130992889404,0.033483481407165526,0.04113013744354248,0.056930160522460936,0.05039980411529541
Rayners Lane,Harrow & Wealdston,0.010902383327484132,35.55177164077759,0.011648902893066406,0.06592955589294433,0.07885978221893311,0.06901426315307617,0.09677472114562988,0.04756443500518799,0.057551336288452146,0.043912625312805174,0.06657893657684326
Goldhawk Road,Upminster Bridge,0.00652113676071167,35.616331815719604,0.01234072208404541,0.06884112358093261,0.08247134685516358,0.04022538661956787,0.10250554084777833,0.051191306114196776,0.06257429122924804,0.054610157012939455,0.09060273170471192
Kilburn Park,Southgate,0.002673506736755371,35.62064719200134,0.01019122838973999,0.03521008491516113,0.041863417625427245,0.04316534996032715,0.0464599609375,0.029443025588989258,0.03575677871704101,0.016945385932922365,0.029123377799987794
Amersham,Finsbury Park,0.0023215365409851073,35.583271503448486,0.007038037776947021,0.024161005020141603,0.029332399368286133,0.026213312149047853,0.03047175407409668,0.0366326093673706,0.04031262397766113,0.04449741840362549,0.048010063171386716
Eastcote,Cockfosters,0.004008560180664062,35.6382315158844,0.01174257516860962,0.07386808395385742,0.08774440288543701,0.07366056442260742,0.09227020740509033,0.05095658302307129,0.061801695823669435,0.04825456142425537,0.07178106307983398
Warren Street,Archway,0.0006005764007568359,35.70834183692932,0.00322648286819458,0.004558253288269043,0.005388617515563965,0.005381393432617188,0.005381631851196289,0.004278445243835449,0.005076694488525391,0.005073904991149902,0.005077958106994629
Becontree,Gloucester Road,0.002402749061584473,35.670045375823975,0.0073020076751708985,0.02448301315307617,0.029969263076782226,0.021312737464904787,0.048078274726867674,0.0446352481842041,0.05468287467956543,0.03547835350036621,0.062081766128540036
Cyprus,Ruislip Gardens,0.006204774379730224,35.741863489151,0.011603357791900635,0.0801847219467163,0.09477574825286865,0.13102970123291016,0.12075304985046387,0.027643370628356933,0.03424592018127441,0.060126423835754395,0.03387837409973145
Willesden Green,Holland Park,0.0011431598663330079,35.603068351745605,0.0028265810012817385,0.011288762092590332,0.013863301277160645,0.012902188301086425,0.015018343925476074,0.019479036331176758,0.023871827125549316,0.01789579391479492,0.019619131088256837
Marylebone,Chesham,0.003043231964111328,35.67514944076538,0.012540347576141357,0.030929422378540038,0.03754780292510986,0.015354108810424805,0.1145615816116333,0.021813392639160156,0.026581358909606934,0.015276098251342773,0.04080052375793457
Pinner,St. James's Park,0.0016494250297546386,35.727132081985474,0.004636898040771485,0.01917531490325928,0.02316122055053711,0.01819455623626709,0.028332114219665527,0.023380255699157713,0.028761005401611327,0.015340924263000488,0.03219430446624756
Holland Park,Victoria,0.0015671181678771973,35.75673723220825,0.002146725654602051,0.007663536071777344,0.00954751968383789,0.005803728103637695,0.010126686096191407,0.007552003860473633,0.00942530632019043,0.010038971900939941,0.009422802925109863
Westminster,Royal Albert,0.002350914478302002,35.64419388771057,0.008380022048950195,0.029128360748291015,0.035474205017089845,0.026096510887145995,0.040974903106689456,0.016194248199462892,0.020263981819152833,0.020454716682434083,0.023691678047180177
Monument,Barbican,0.0011264920234680177,35.7548885345459,0.0007171487808227539,0.005651116371154785,0.006935715675354004,0.0069260835647583004,0.006926965713500976,0.00807034969329834,0.009981536865234375,0.010893440246582032,0.009965348243713378
West Kensington,King's Cross St. Pancras,0.0015439939498901366,35.70563626289368,0.004155318737030029,0.013074040412902832,0.01599299907684326,0.013646721839904785,0.031590628623962405,0.021186304092407227,0.026178431510925294,0.024789714813232423,0.03469836711883545
Wembley Central,Limehouse,0.003112971782684326,35.7686767578125,0.006926915645599365,0.025446605682373048,0.03111112117767334,0.02807173728942871,0.0347156286239624,0.03633122444152832,0.04466397762298584,0.04136748313903808,0.053379058837890625
Lancaster Gate,Blackhorse Road,0.011241719722747803,35.708510637283325,0.008782813549041748,0.02650120258331299,0.03190183639526367,0.013736629486083984,0.05465521812438965,0.01150197982788086,0.01430668830871582,0.01587693691253662,0.027271533012390138
Hampstead,Knightsbridge,0.0018209505081176758,35.680787801742554,0.0025609540939331055,0.01054239273071289,0.012851667404174805,0.011063098907470703,0.014110255241394042,0.016321659088134766,0.020095205307006835,0.01995689868927002,0.014830303192138673
Moor Park,Osterley,0.001495208740234375,35.670929193496704,0.005264222621917725,0.018791747093200684,0.022884202003479005,0.021017169952392577,0.02534754276275635,0.020371627807617188,0.024895715713500976,0.024332141876220702,0.03228166103363037
Elm Park,Euston,0.0019655418395996094,35.70869016647339,0.0047913861274719236,0.017418551445007324,0.021277403831481932,0.01938169002532959,0.028889012336730958,0.020807337760925294,0.02570176124572754,0.02884073257446289,0.023705482482910156
Buckhurst Hill,Gallions Reach,0.0015078353881835937,35.669536113739014,0.0032458019256591795,0.01486034393310547,0.018274092674255372,0.015220570564270019,0.018268942832946777,0.013193488121032715,0.01624274253845215,0.016240978240966798,0.01625192165374756
Tooting Broadway,London Bridge,0.0007888293266296387,35.74099397659302,0.0009975194931030273,0.007120800018310547,0.008784914016723632,0.008781361579895019,0.009397244453430176,0.008549165725708009,0.010642027854919434,0.010626816749572754,0.012760639190673828
