Distance Function,Start Station,End Station,Time,Path,Distance
haversine,Bond Street,Canada Water,0.0003559589385986328,Bond Street -> Oxford Circus -> Piccadilly Circus -> Charing Cross -> Embankment -> Waterloo -> Southwark -> London Bridge -> Bermondsey -> Canada Water,7.527535747628683 km
manhattan,Bond Street,Canada Water,0.0003452301025390625,Bond Street -> Oxford Circus -> Piccadilly Circus -> Charing Cross -> Embankment -> Waterloo -> Southwark -> London Bridge -> Bermondsey -> Canada Water,7.527535747628683 km
euclidean,Bond Street,Canada Water,0.0003478527069091797,Bond Street -> Oxford Circus -> Piccadilly Circus -> Charing Cross -> Embankment -> Waterloo -> Southwark -> London Bridge -> Bermondsey -> Canada Water,7.527535747628683 km
chebyshev,Bond Street,Canada Water,0.0003407001495361328,Bond Street -> Oxford Circus -> Piccadilly Circus -> Charing Cross -> Embankment -> Waterloo -> Southwark -> London Bridge -> Bermondsey -> Canada Water,7.527535747628683 km
haversine,Ealing Broadway,Ealing Common,6.604194641113281e-05,Ealing Broadway -> Ealing Common,1.0928664268099313 km
manhattan,Ealing Broadway,Ealing Common,7.152557373046875e-05,Ealing Broadway -> Ealing Common,1.0928664268099313 km
euclidean,Ealing Broadway,Ealing Common,7.176399230957031e-05,Ealing Broadway -> Ealing Common,1.0928664268099313 km
chebyshev,Ealing Broadway,Ealing Common,6.723403930664062e-05,Ealing Broadway -> Ealing Common,1.0928664268099313 km
haversine,Brent Cross,St. John's Wood,0.0003368854522705078,Brent Cross -> Golders Green -> Hampstead -> Belsize Park -> Chalk Farm -> Camden Town -> Euston -> Warren Street -> Oxford Circus -> Bond Street -> Baker Street -> St. John's Wood,13.016149444600465 km
manhattan,Brent Cross,St. John's Wood,0.000324249267578125,Brent Cross -> Golders Green -> Hampstead -> Belsize Park -> Chalk Farm -> Camden Town -> Euston -> Warren Street -> Oxford Circus -> Bond Street -> Baker Street -> St. John's Wood,13.016149444600465 km
euclidean,Brent Cross,St. John's Wood,0.0003247261047363281,Brent Cross -> Golders Green -> Hampstead -> Belsize Park -> Chalk Farm -> Camden Town -> Euston -> Warren Street -> Oxford Circus -> Bond Street -> Baker Street -> St. John's Wood,13.016149444600465 km
chebyshev,Brent Cross,St. John's Wood,0.0003287792205810547,Brent Cross -> Golders Green -> Hampstead -> Belsize Park -> Chalk Farm -> Camden Town -> Euston -> Warren Street -> Oxford Circus -> Bond Street -> Baker Street -> St. John's Wood,13.016149444600465 km
haversine,Bayswater,Parsons Green,0.00014472007751464844,Bayswater -> Notting Hill Gate -> High Street Kensington -> Earl's Court -> West Brompton -> Fulham Broadway -> Parsons Green,4.726724555169225 km
manhattan,Bayswater,Parsons Green,0.0001480579376220703,Bayswater -> Notting Hill Gate -> High Street Kensington -> Earl's Court -> West Brompton -> Fulham Broadway -> Parsons Green,4.726724555169225 km
euclidean,Bayswater,Parsons Green,0.00014710426330566406,Bayswater -> Notting Hill Gate -> High Street Kensington -> Earl's Court -> West Brompton -> Fulham Broadway -> Parsons Green,4.726724555169225 km
chebyshev,Bayswater,Parsons Green,0.0001418590545654297,Bayswater -> Notting Hill Gate -> High Street Kensington -> Earl's Court -> West Brompton -> Fulham Broadway -> Parsons Green,4.726724555169225 km
haversine,Holland Park,South Kensington,0.00011134147644042969,Holland Park -> Notting Hill Gate -> High Street Kensington -> Gloucester Road -> South Kensington,3.2715100281856664 km
manhattan,Holland Park,South Kensington,0.0001125335693359375,Holland Park -> Notting Hill Gate -> High Street Kensington -> Gloucester Road -> South Kensington,3.2715100281856664 km
euclidean,Holland Park,South Kensington,0.00011444091796875,Holland Park -> Notting Hill Gate -> High Street Kensington -> Gloucester Road -> South Kensington,3.2715100281856664 km
chebyshev,Holland Park,South Kensington,0.00011348724365234375,Holland Park -> Notting Hill Gate -> High Street Kensington -> Gloucester Road -> South Kensington,3.2715100281856664 km
haversine,Highgate,Lancaster Gate,0.0002129077911376953,Highgate -> Archway -> Tufnell Park -> Kentish Town -> Camden Town -> Euston -> Warren Street -> Oxford Circus -> Bond Street -> Marble Arch -> Lancaster Gate,9.871163705711687 km
manhattan,Highgate,Lancaster Gate,0.00021600723266601562,Highgate -> Archway -> Tufnell Park -> Kentish Town -> Camden Town -> Euston -> Warren Street -> Oxford Circus -> Bond Street -> Marble Arch -> Lancaster Gate,9.871163705711687 km
euclidean,Highgate,Lancaster Gate,0.0002155303955078125,Highgate -> Archway -> Tufnell Park -> Kentish Town -> Camden Town -> Euston -> Warren Street -> Oxford Circus -> Bond Street -> Marble Arch -> Lancaster Gate,9.871163705711687 km
chebyshev,Highgate,Lancaster Gate,0.0002110004425048828,Highgate -> Archway -> Tufnell Park -> Kentish Town -> Camden Town -> Euston -> Warren Street -> Oxford Circus -> Bond Street -> Marble Arch -> Lancaster Gate,9.871163705711687 km
haversine,Barbican,Swiss Cottage,0.0002739429473876953,Barbican -> Farringdon -> King's Cross St. Pancras -> Euston Square -> Great Portland Street -> Baker Street -> St. John's Wood -> Swiss Cottage,7.492992374156065 km
manhattan,Barbican,Swiss Cottage,0.0002772808074951172,Barbican -> Farringdon -> King's Cross St. Pancras -> Euston Square -> Great Portland Street -> Baker Street -> St. John's Wood -> Swiss Cottage,7.492992374156065 km
euclidean,Barbican,Swiss Cottage,0.0002713203430175781,Barbican -> Farringdon -> King's Cross St. Pancras -> Euston Square -> Great Portland Street -> Baker Street -> St. John's Wood -> Swiss Cottage,7.492992374156065 km
chebyshev,Barbican,Swiss Cottage,0.00028252601623535156,Barbican -> Farringdon -> King's Cross St. Pancras -> Euston Square -> Great Portland Street -> Baker Street -> St. John's Wood -> Swiss Cottage,7.492992374156065 km
haversine,Blackwall,West Ham,0.000102996826171875,Blackwall -> East India -> Canning Town -> West Ham,2.847250185113392 km
manhattan,Blackwall,West Ham,9.799003601074219e-05,Blackwall -> East India -> Canning Town -> West Ham,2.847250185113392 km
euclidean,Blackwall,West Ham,0.00010180473327636719,Blackwall -> East India -> Canning Town -> West Ham,2.847250185113392 km
chebyshev,Blackwall,West Ham,0.00010180473327636719,Blackwall -> East India -> Canning Town -> West Ham,2.847250185113392 km
haversine,Belsize Park,Regent's Park,0.00022935867309570312,Belsize Park -> Chalk Farm -> Camden Town -> Euston -> Warren Street -> Oxford Circus -> Regent's Park,5.9255905949739756 km
manhattan,Belsize Park,Regent's Park,0.00023603439331054688,Belsize Park -> Chalk Farm -> Camden Town -> Euston -> Warren Street -> Oxford Circus -> Regent's Park,5.9255905949739756 km
euclidean,Belsize Park,Regent's Park,0.00022864341735839844,Belsize Park -> Chalk Farm -> Camden Town -> Euston -> Warren Street -> Oxford Circus -> Regent's Park,5.9255905949739756 km
chebyshev,Belsize Park,Regent's Park,0.00023102760314941406,Belsize Park -> Chalk Farm -> Camden Town -> Euston -> Warren Street -> Oxford Circus -> Regent's Park,5.9255905949739756 km
haversine,Kingsbury,Woodside Park,0.0008730888366699219,Kingsbury -> Wembley Park -> Finchley Road -> Baker Street -> Bond Street -> Oxford Circus -> Warren Street -> Euston -> Camden Town -> Kentish Town -> Tufnell Park -> Archway -> Highgate -> East Finchley -> Finchley Central -> West Finchley -> Woodside Park,27.851994569553984 km
manhattan,Kingsbury,Woodside Park,0.0008869171142578125,Kingsbury -> Wembley Park -> Finchley Road -> Baker Street -> Bond Street -> Oxford Circus -> Warren Street -> Euston -> Camden Town -> Kentish Town -> Tufnell Park -> Archway -> Highgate -> East Finchley -> Finchley Central -> West Finchley -> Woodside Park,27.851994569553984 km
euclidean,Kingsbury,Woodside Park,0.0008699893951416016,Kingsbury -> Wembley Park -> Finchley Road -> Baker Street -> Bond Street -> Oxford Circus -> Warren Street -> Euston -> Camden Town -> Kentish Town -> Tufnell Park -> Archway -> Highgate -> East Finchley -> Finchley Central -> West Finchley -> Woodside Park,27.851994569553984 km
chebyshev,Kingsbury,Woodside Park,0.0008938312530517578,Kingsbury -> Wembley Park -> Finchley Road -> Baker Street -> Bond Street -> Oxford Circus -> Warren Street -> Euston -> Camden Town -> Kentish Town -> Tufnell Park -> Archway -> Highgate -> East Finchley -> Finchley Central -> West Finchley -> Woodside Park,27.851994569553984 km
haversine,Caledonian Road,Green Park,0.00018525123596191406,Caledonian Road -> King's Cross St. Pancras -> Euston -> Warren Street -> Oxford Circus -> Green Park,5.23200426326921 km
manhattan,Caledonian Road,Green Park,0.00018262863159179688,Caledonian Road -> King's Cross St. Pancras -> Euston -> Warren Street -> Oxford Circus -> Green Park,5.23200426326921 km
euclidean,Caledonian Road,Green Park,0.00018715858459472656,Caledonian Road -> King's Cross St. Pancras -> Euston -> Warren Street -> Oxford Circus -> Green Park,5.23200426326921 km
chebyshev,Caledonian Road,Green Park,0.0001800060272216797,Caledonian Road -> King's Cross St. Pancras -> Euston -> Warren Street -> Oxford Circus -> Green Park,5.23200426326921 km
haversine,Swiss Cottage,West Finchley,0.0007216930389404297,Swiss Cottage -> St. John's Wood -> Baker Street -> Bond Street -> Oxford Circus -> Warren Street -> Euston -> Camden Town -> Kentish Town -> Tufnell Park -> Archway -> Highgate -> East Finchley -> Finchley Central -> West Finchley,17.0150562547679 km
manhattan,Swiss Cottage,West Finchley,0.0007283687591552734,Swiss Cottage -> St. John's Wood -> Baker Street -> Bond Street -> Oxford Circus -> Warren Street -> Euston -> Camden Town -> Kentish Town -> Tufnell Park -> Archway -> Highgate -> East Finchley -> Finchley Central -> West Finchley,17.0150562547679 km
euclidean,Swiss Cottage,West Finchley,0.0007579326629638672,Swiss Cottage -> St. John's Wood -> Baker Street -> Bond Street -> Oxford Circus -> Warren Street -> Euston -> Camden Town -> Kentish Town -> Tufnell Park -> Archway -> Highgate -> East Finchley -> Finchley Central -> West Finchley,17.0150562547679 km
chebyshev,Swiss Cottage,West Finchley,0.000720977783203125,Swiss Cottage -> St. John's Wood -> Baker Street -> Bond Street -> Oxford Circus -> Warren Street -> Euston -> Camden Town -> Kentish Town -> Tufnell Park -> Archway -> Highgate -> East Finchley -> Finchley Central -> West Finchley,17.0150562547679 km
haversine,Upney,Canning Town,0.0001277923583984375,Upney -> Barking -> East Ham -> Upton Park -> Plaistow -> West Ham -> Canning Town,8.412935685939843 km
manhattan,Upney,Canning Town,0.0001232624053955078,Upney -> Barking -> East Ham -> Upton Park -> Plaistow -> West Ham -> Canning Town,8.412935685939843 km
euclidean,Upney,Canning Town,0.00012421607971191406,Upney -> Barking -> East Ham -> Upton Park -> Plaistow -> West Ham -> Canning Town,8.412935685939843 km
chebyshev,Upney,Canning Town,0.0001251697540283203,Upney -> Barking -> East Ham -> Upton Park -> Plaistow -> West Ham -> Canning Town,8.412935685939843 km
haversine,Kentish Town,Manor House,0.0002446174621582031,Kentish Town -> Camden Town -> Euston -> King's Cross St. Pancras -> Caledonian Road -> Holloway Road -> Arsenal -> Finsbury Park -> Manor House,8.523672212309732 km
manhattan,Kentish Town,Manor House,0.00024771690368652344,Kentish Town -> Camden Town -> Euston -> King's Cross St. Pancras -> Caledonian Road -> Holloway Road -> Arsenal -> Finsbury Park -> Manor House,8.523672212309732 km
euclidean,Kentish Town,Manor House,0.00023412704467773438,Kentish Town -> Camden Town -> Euston -> King's Cross St. Pancras -> Caledonian Road -> Holloway Road -> Arsenal -> Finsbury Park -> Manor House,8.523672212309732 km
chebyshev,Kentish Town,Manor House,0.00024271011352539062,Kentish Town -> Camden Town -> Euston -> King's Cross St. Pancras -> Caledonian Road -> Holloway Road -> Arsenal -> Finsbury Park -> Manor House,8.523672212309732 km
haversine,East Acton,Fulham Broadway,0.0001595020294189453,East Acton -> White City -> Shepherd's Bush (C) -> Holland Park -> Notting Hill Gate -> High Street Kensington -> Earl's Court -> West Brompton -> Fulham Broadway,7.563899789296184 km
manhattan,East Acton,Fulham Broadway,0.00016880035400390625,East Acton -> White City -> Shepherd's Bush (C) -> Holland Park -> Notting Hill Gate -> High Street Kensington -> Earl's Court -> West Brompton -> Fulham Broadway,7.563899789296184 km
euclidean,East Acton,Fulham Broadway,0.00016450881958007812,East Acton -> White City -> Shepherd's Bush (C) -> Holland Park -> Notting Hill Gate -> High Street Kensington -> Earl's Court -> West Brompton -> Fulham Broadway,7.563899789296184 km
chebyshev,East Acton,Fulham Broadway,0.00016760826110839844,East Acton -> White City -> Shepherd's Bush (C) -> Holland Park -> Notting Hill Gate -> High Street Kensington -> Earl's Court -> West Brompton -> Fulham Broadway,7.563899789296184 km
haversine,Old Street,Shoreditch,0.00018358230590820312,Old Street -> Moorgate -> Liverpool Street -> Aldgate East -> Whitechapel -> Shoreditch,3.6925096817975387 km
manhattan,Old Street,Shoreditch,0.0001804828643798828,Old Street -> Moorgate -> Liverpool Street -> Aldgate East -> Whitechapel -> Shoreditch,3.6925096817975387 km
euclidean,Old Street,Shoreditch,0.00018453598022460938,Old Street -> Moorgate -> Liverpool Street -> Aldgate East -> Whitechapel -> Shoreditch,3.6925096817975387 km
chebyshev,Old Street,Shoreditch,0.00018548965454101562,Old Street -> Moorgate -> Liverpool Street -> Aldgate East -> Whitechapel -> Shoreditch,3.6925096817975387 km
haversine,Hanger Lane,Royal Oak,0.00017380714416503906,Hanger Lane -> North Acton -> East Acton -> White City -> Shepherd's Bush (C) -> Holland Park -> Notting Hill Gate -> Bayswater -> Paddington -> Royal Oak,10.368632902070392 km
manhattan,Hanger Lane,Royal Oak,0.00018024444580078125,Hanger Lane -> North Acton -> East Acton -> White City -> Shepherd's Bush (C) -> Holland Park -> Notting Hill Gate -> Bayswater -> Paddington -> Royal Oak,10.368632902070392 km
euclidean,Hanger Lane,Royal Oak,0.0001785755157470703,Hanger Lane -> North Acton -> East Acton -> White City -> Shepherd's Bush (C) -> Holland Park -> Notting Hill Gate -> Bayswater -> Paddington -> Royal Oak,10.368632902070392 km
chebyshev,Hanger Lane,Royal Oak,0.00017642974853515625,Hanger Lane -> North Acton -> East Acton -> White City -> Shepherd's Bush (C) -> Holland Park -> Notting Hill Gate -> Bayswater -> Paddington -> Royal Oak,10.368632902070392 km
haversine,Royal Victoria,Wapping,0.00021409988403320312,Royal Victoria -> Canning Town -> East India -> Blackwall -> Poplar -> West India Quay -> Canary Wharf -> Canada Water -> Rotherhithe -> Wapping,6.3341640151288745 km
manhattan,Royal Victoria,Wapping,0.00021004676818847656,Royal Victoria -> Canning Town -> East India -> Blackwall -> Poplar -> West India Quay -> Canary Wharf -> Canada Water -> Rotherhithe -> Wapping,6.3341640151288745 km
euclidean,Royal Victoria,Wapping,0.00020623207092285156,Royal Victoria -> Canning Town -> East India -> Blackwall -> Poplar -> West India Quay -> Canary Wharf -> Canada Water -> Rotherhithe -> Wapping,6.3341640151288745 km
chebyshev,Royal Victoria,Wapping,0.00021028518676757812,Royal Victoria -> Canning Town -> East India -> Blackwall -> Poplar -> West India Quay -> Canary Wharf -> Canada Water -> Rotherhithe -> Wapping,6.3341640151288745 km
haversine,Arnos Grove,Kentish Town,0.00023603439331054688,Arnos Grove -> Bounds Green -> Wood Green -> Turnpike Lane -> Manor House -> Finsbury Park -> Arsenal -> Holloway Road -> Caledonian Road -> King's Cross St. Pancras -> Euston -> Camden Town -> Kentish Town,14.302774945398163 km
manhattan,Arnos Grove,Kentish Town,0.0002353191375732422,Arnos Grove -> Bounds Green -> Wood Green -> Turnpike Lane -> Manor House -> Finsbury Park -> Arsenal -> Holloway Road -> Caledonian Road -> King's Cross St. Pancras -> Euston -> Camden Town -> Kentish Town,14.302774945398163 km
